external_id,title,short_title,description,category,tags,benefits,start_datetime,end_datetime,venue_title,venue_address,venue_lat,venue_lon,price_min,price_raw,is_free,age_restriction,image_url,site_url,source,parsed_at
,Юля Чеснокова,Юля Чеснокова,"Сольный стендап-концерт Юли Чесноковой.

Юлия Чеснокова — стендап-комик с абсурдистским юмором, необычными историями из жизни и провокационными шутками.",stand-up,,,14 июля 2026,,Stage StandUp Club,ул. Восстания 24/27Б Начало: 14 июля 2026 в 20:00 Завершение: 1,,,500,от 500 ₽,False,18+,,https://kaverafisha.ru/saint-petersburg/events/zhenskiyy-stendap-vecher-yulya-chesnokova-273234,kaver,2026-07-14 14:52:20
,Стендап по-женски,Стендап по-женски,"Лучшие девушки комики Петербурга, а также специальные гостьи с разных уголков России соберутся, чтобы дать зрителю свой отборный юмор, как следует отпесочить мужичков, а также выговориться на наболевшие темы без цензуры.

Это шоу понравится и мужчинам, и девушкам, ведь женский стендап более искренний и эмоциональный. И каждые выходные тебя ждёт приглашённый комик из Москвы с телепроектов ТНТ, который станет хедлайнером вечера.

Запуск гостей за час до концерта, но ты всегда можешь прийти пораньше и отдохнуть в другом зале в режиме ресторана.

Во время концерта работает бар и кухня. 

Бронь столика держится за тобой только до конца концерта.

Дресскод на время стендапа не действует, но если ты хочешь продолжить отдых в заведении после стендапа, тогда тебе нужно соблюдать его дресскод.

Мероприятия строго 18+.

Расписание по кнопке «Купить билет»",stand-up,,,31 июля 2026,,Сплетни бар by Anna Asti,,,,590,от 590 ₽,False,18+,,https://kaverafisha.ru/saint-petersburg/events/zhenskiyy-stendap-v-bare-spletni-255937,kaver,2026-07-14 14:52:22
,Элитный Стендап,Элитный Стендап,"Перед тобой выступят комики с ТНТ, НТВ, ЖКХ, ВДВ...
Регалий предостаточно, кто-то сын маминой подруги, а у кого-то грамота за турнир по рыбалке.

Расписание доступно по кнопке  «Купить билет».",stand-up,,,7 августа 2026,,,"улица Рубинштейна, 9/",,,600,от 600 ₽,False,18+,,https://kaverafisha.ru/saint-petersburg/events/elitnyy-stand-up-261391,kaver,2026-07-14 14:52:25
,Элитный стендап,Элитный стендап,"Твоё идеальное свидание с комедией.

Перед тобой выступят комики с ТНТ, НТВ, ЖКХ, ВДВ. Регалий предостаточно, кто-то сын маминой подруги, а у кого-то грамота за турнир по рыбалке.

Каждую сб и вс",stand-up,,,30 августа 2026,,,,,,400,от 400 ₽,False,18+,,https://kaverafisha.ru/saint-petersburg/events/elitnyy-stendap-313746,kaver,2026-07-14 14:52:30
,Леонид Кулаков | 19:00,Леонид Кулаков | 19:00,"Стендап комик, продюсер, основатель лейбла и бара «Стендап Патрики». Честный, трушный юмор на актуальные события, мимо которых пройти невозможно.

Лёню смотрят, обсуждают, критикуют и восхищаются. Его сольники уже дали много шуму и немало просмотров. Но только вживую можно по-настоящему понять — кто такой Леонид Кулаков?",stand-up,,,15 июля 2026,,Stage StandUp Club,ул. Восстания 24/27Б Начало: 15 июля 2026 в 19:00 Завершение: 1,,,2000,от 2000 ₽,False,18+,,https://kaverafisha.ru/saint-petersburg/events/leonid-kulakov-1900-316554,kaver,2026-07-14 14:52:34
,Леонид Кулаков | 21:30,Леонид Кулаков | 21:30,"Стендап комик, продюсер, основатель лейбла и бара «Стендап Патрики». Честный, трушный юмор на актуальные события, мимо которых пройти невозможно.

Лёню смотрят, обсуждают, критикуют и восхищаются. Его сольники уже дали много шуму и немало просмотров. Но только вживую можно по-настоящему понять — кто такой Леонид Кулаков?",stand-up,,,15 июля 2026,,Stage StandUp Club,ул. Восстания 24/27Б Начало: 15 июля 2026 в 19:00 Завершение: 1,,,2000,от 2000 ₽,False,18+,,https://kaverafisha.ru/saint-petersburg/events/leonid-kulakov-2130-316557,kaver,2026-07-14 14:52:36
,Антон Борисов,Антон Борисов,"Опытнейший стендап-комик из Санкт-Петербурга, которого называют одним из основателей жанра в России.

Неповторимый микс умной взрослой комедии, интересных мыслей и отличной импровизации, которая является неотъемлемой частью любого выступления Антона Борисова.

Рассадка осуществляется менеджером зала.",stand-up,,,16 июля 2026,,Stage StandUp Club,ул. Восстания 24/27Б Начало: 16 июля 2026 в 19:00 Завершение: 1,,,1000,от 1000 ₽,False,18+,,https://kaverafisha.ru/saint-petersburg/events/anton-borisov-311734,kaver,2026-07-14 14:52:38
,Восемь комиков,Восемь комиков,"Классический стендап вечер, на котором опытные питерские комики проверят свои шутки, а ты сможешь познакомиться с новыми для себя представителями комедийной сцены.

Рассадка осуществляется менеджером зала.
Приходи к началу запуска, чтобы занять места ближе к сцене.",stand-up,,,16 июля 2026,,Stage StandUp Club,ул. Восстания 24/27Б Начало: 16 июля 2026 в 20:00 Завершение: 1,,,500,от 500 ₽,False,18+,,https://kaverafisha.ru/saint-petersburg/events/vosem-komikov-250413,kaver,2026-07-14 14:52:41
,Книжный стендап,Книжный стендап,"Шоу, где комики шутят о прочитанных книгах. 

Тебя зовут похихикать над книжками, послушать рецензии от комиков и узнать, что же всё-таки имел в виду автор.

Атмосферный бар, приятная компания и несколько книжек, которые совершенно необязательно читать, чтобы над ними посмеяться.",stand-up,,,16 июля 2026,,Popravka,пр. 50,,,500,от 500 ₽,False,18+,,https://kaverafisha.ru/saint-petersburg/events/knizhnyy-stendap-311444,kaver,2026-07-14 14:52:43
,Тимур Каргинов. Проверочный концерт,Тимур Каргинов. Проверочный концерт,"Стендап-комик, креативный продюсер, ведущий KuJi Podcast.

В концерте Тимур делает акцент не на количестве шуток, а на глубине каждой своей мысли и говорит только о том, что живо интересует его самого. Как и прежде, Каргинов создаёт самобытную комедию с интеллектуальным подтекстом, где содержание важнее формы.",stand-up,,,16 июля 2026,,Stage StandUp Club,ул. Восстания 24/27Б Начало: 16 июля 2026 в 21:30 Завершение: 1,,,2500,от 2500 ₽,False,18+,,https://kaverafisha.ru/saint-petersburg/events/timur-karginov-proverochnyy-kontsert-314220,kaver,2026-07-14 14:52:45
