external_id,title,short_title,description,category,tags,start_datetime,end_datetime,venue_title,venue_address,venue_lat,venue_lon,price_min,price_raw,is_free,age_restriction,image_url,site_url,source,parsed_at
,Стендап по-женски,Стендап по-женски,"Лучшие девушки комики Петербурга, а также специальные гостьи с разных уголков России соберутся, чтобы дать зрителю свой отборный юмор, как следует отпесочить мужичков, а также выговориться на наболевшие темы без цензуры.

Это шоу понравится и мужчинам, и девушкам, ведь женский стендап более искренний и эмоциональный. И каждые выходные тебя ждёт приглашённый комик из Москвы с телепроектов ТНТ, который станет хедлайнером вечера.

Запуск гостей за час до концерта, но ты всегда можешь прийти пораньше и отдохнуть в другом зале в режиме ресторана.

Во время концерта работает бар и кухня. 

Бронь столика держится за тобой только до конца концерта.

Дресскод на время стендапа не действует, но если ты хочешь продолжить отдых в заведении после стендапа, тогда тебе нужно соблюдать его дресскод.

Мероприятия строго 18+.

Расписание по кнопке «Купить билет».",stand-up,,"Стендап по-женски в городе Санкт-Петербург, до 29 августа 2026: купить билеты — Кавёр",,,,,,1090,1090 руб,False,0+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/zhenskiyy-standup-na-nevskom-249162/og.png,https://kaverafisha.ru/saint-petersburg/events/zhenskiyy-standup-na-nevskom-249162,kaver,2026-07-11 14:01:51
,Планета К-30,Планета К-30,"Планета K-30 возвращается в Петербург. Ежегодный летний фестиваль друзей и героев К-30 на расширенной территории квартала «10l12 Мануфактура» и нового клуба.

10 июля — большой концерт-открытие при участии британской звезды Камаала Уильямса и специального списка выступающих современных джазовых музыкантов + ночная вечеринка.

11 июля — выступления концертных главных участников, шоукейсы и диджей сеты на пяти сценах с вечера и до утра. А ещё : активности, фудмаркет, медиа-арт и много всего.

Оба дня: билет на оба дня основной программы фестиваля 10-11 июля.",festival,,"Выставка Планета К-30 в городе Санкт-Петербург, 10 июля 2026: купить билеты — Кавёр",,,,,,5800,5800 руб,False,0+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/festival-planeta-k-30-272474/og.png,https://kaverafisha.ru/saint-petersburg/events/festival-planeta-k-30-272474,kaver,2026-07-11 14:01:53
,Гидровояж — вечеринка на теплоходе на разводные мосты,Гидровояж — вечеринка на теплоходе на разводные мосты,"Танцевальная вечеринка под открытым небом на борту теплохода.

Ты погрузишься в атмосферу праздника с жаркими танцами под хиты в стиле поп от профессионального диджея. Идеальный способ провести выходные или отметить важное событие.

Особенности формата:
— Музыкальный сет от диджея: горячие хиты всех времён
— Ведущий не даст заскучать
— Мощный и качественный звук
— Живописный маршрут с видом на разводные мосты
— Фотоотчет с каждой вечеринки

Условия по бару:
— на борту предоставляются бесплатные безалкогольные напитки
— разрешается приносить свои любые напитки (с учётом ограничений — уточняй у организатора)
— продажа еды и алкогольных напитков на борту не осуществляется рекомендуем взять с собой всё необходимое (есть ограничения)

Расписание:
— Каждую пятницу и субботу
— Указанное в билете время: 23:59 (необходимо для корректного отображения даты мероприятия);
— Начало посадки: 00:00;
— Отправление: 00:15 (строго по расписанию, опоздавших не ждут)

Будь внимателен на причале, возможна п",party,,"Гидровояж — вечеринка на теплоходе на разводные мосты в городе Санкт-Петербург, 16 мая 2026: купить билеты — Кавёр",,,,,,2800,2800 руб,False,0+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/gidrovoyazh-vecherinka-na-teplohode-pod-razvodnye-mosty-272987/og.png,https://kaverafisha.ru/saint-petersburg/events/gidrovoyazh-vecherinka-na-teplohode-pod-razvodnye-mosty-272987,kaver,2026-07-11 14:01:56
,Музыка из кино на органе,Музыка из кино на органе,"«Музыка из кино на органе» зазвучит ещё более проникновенно и загадочно благодаря ночному формату мероприятия.

Прозвучит музыка из «Гарри Поттера», «Титаника», «Властелина колец», «Ходячего замка Хоула», «Пиратов Карибского моря» и другие признанные шедевры музыкального киноискусства.

Программа вызывает самые разные ассоциации и обращается к наиболее трогательным воспоминаниям: о детстве, о первых купленных кассетах или дисках, о томительном ожидании выхода в прокат фильмов о любимых героях, о горячих спорах, что же всё-таки лучше — книга или фильм.

Окунись в волшебную атмосферу любимых кинокартин, слушая культовые саундтреки в исполнении Ансамбля солистов Оркестра 1703 (художественный руководитель — Георгий Фёдоров), Николая Бронзова и Ольги Котляровой (орган). Музыка исполняется на электрооргане.

Стены зала украсят медиа проекции от арт-студии «Ветер».

Продолжительность – 1 час 15 минут.",concert,,"Музыка из кино на органе в городе Санкт-Петербург, до 27 августа 2026: купить билеты — Кавёр",,,,,,1600,1600 руб,False,0+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/muzyka-iz-kino-na-organe-pyatnitsa-249570/og.png,https://kaverafisha.ru/saint-petersburg/events/muzyka-iz-kino-na-organe-pyatnitsa-249570,kaver,2026-07-11 14:01:59
,Мастер-класс по керамике в саду особняка,Мастер-класс по керамике в саду особняка,"Событие пройдёт в камерном саду особняка XIX века совместно с просмотром классики кино.

Проведи июльский день в невероятно красивом и уютном саду у стен особняка XIX века на мастер-классе по лепке из глины. Событие также дополнит киносеанс — параллельно с созданием посуды или предметов декора ты увидишь избранную классику кинематографа.

Мастер-класс проведут мастера керамической студии Burning clay. Burning clay — это про творчество, любовь и людей. Про яркое самовыражение через искусство древнейшего ремесла и общения с другими творцами. За пять лет существования студия провела огромное количество мастер-классов, выездных мероприятий и корпоративов.",education,,"Мастер-класс по керамике в саду особняка в городе Санкт-Петербург, 18 июля 2026: купить билеты — Кавёр",,,,,,3500,3500 руб,False,0+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/master-klass-po-keramike-v-sadu-osobnyaka-317041/og.png,https://kaverafisha.ru/saint-petersburg/events/master-klass-po-keramike-v-sadu-osobnyaka-317041,kaver,2026-07-11 14:02:01
,Миска для любимого питомца,Миска для любимого питомца,"Порадуй своего хвостатого и усатого друга, слепив для него милую, не похожую на другие мисочку на мастер-классе по керамике. И пусть все соседские хвостатые обзавидуются! А если у тебя есть ёжик или другой питомец — обеспечен безграничный полёт фантазии в выборе декора.

Любая форма, размер, цвет (в разумных пределах). 
Длительность: 1,5- 2 часа.  

Забрать изделие можно через 5 недель после мастер-класса.  

С подробным расписанием мастер-класса можно ознакомиться на сайте по ссылке.",other,,"Миска для любимого питомца в городе Санкт-Петербург, до 30 июля 2026: купить билеты — Кавёр",,,,,,3500,3500 руб,False,0+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/miska-dlya-lyubimogo-pitomtsa-277201/og.png,https://kaverafisha.ru/saint-petersburg/events/miska-dlya-lyubimogo-pitomtsa-277201,kaver,2026-07-11 14:02:03
,Кольцо или кулон в технике мягкая пайка (soft soldering),Кольцо или кулон в технике мягкая пайка (soft soldering),"Создашь украшения мягким металлом — оловом при помощи паяльника.

Ты можешь сделать кольцо или кулон с камнем на выбор из наличия (есть кристаллы, натуральный жемчуг и другие натуральные камни, а также ракушки).

Мастер-класс проходит в индивидуальном формате для тебя или твоей компании.

Стоимость зависит от количества участников.",other,,"Кольцо или кулон в технике мягкая пайка (soft soldering) в городе Санкт-Петербург, до 14 сентября 2026: купить билеты — Кавёр",,,,,,5000,5000 руб,False,0+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/koltso-ili-kulon-v-tehnike-myagkaya-payyka-soft-soldering-312915/og.png,https://kaverafisha.ru/saint-petersburg/events/koltso-ili-kulon-v-tehnike-myagkaya-payyka-soft-soldering-312915,kaver,2026-07-11 14:02:05
,Дочери Павлова,Дочери Павлова,"Современная притча о необязательности одиночества. 

Судьбы трёх женщин разного возраста странным образом переплетаются в центре сегодняшнего Петербурга, подтверждая старую, добрую истину: «человеку нужен человек». Много музыки, света и любви.

По пьесе Дианы Богуславской «Три дочери сварщика Павлова».

Режиссёр: Екатерина Павлова.",other,,"Спектакль Дочери Павлова в городе Санкт-Петербург, 12 июля 2026: купить билеты — Кавёр",,,,,,1500,1500 руб,False,0+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/docheri-pavlova-283959/og.png,https://kaverafisha.ru/saint-petersburg/events/docheri-pavlova-283959,kaver,2026-07-11 14:02:07
,Спектакль-променад «Тайны наследства братьев Мясниковых»,Спектакль-променад «Тайны наследства братьев Мясниковых»,"Иммерсивный спектакль-променад, который пройдёт в старинном особняке. Ты станешь свидетелем истории, которая пошатнула общество России и стала одним из самых громких судебных разбирательств прошлой эпохи. Перед твоими глазами оживут последние года жизни первых владельцев особняка — братьев Мясниковых, Ивана и Александра.

Особняк Мясникова — исторический и архитектурный памятник XIX века, построенный в 1859 году в самом сердце Петербурга. Здание возвели по заказу Ивана Константиновича Мясникова, одного из двух братьев. Однако дурная слава владельцев повлияла на славу самого особняка — долгое время его именовали не иначе как «сутяжный особняк».

Дело в том, что братья Мясниковы стали героями судебного разбирательства, которое тянулось 14 лет и в которое будут вовлечены огромное количество людей. Оно сопровождалось тёмными слухами и домыслами. Эта тяжба довела одного брата до инсульта и ранней могилы, а другой лишился блестяще начатой карьеры и уважения в обществе. Само же «Дело Мясников",theater,,"Спектакль Спектакль-променад «Тайны наследства братьев Мясниковых» в городе Санкт-Петербург, 19 июля 2026: купить билеты — Кавёр",,,,,,5000,5000 руб,False,0+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/spektakl-promenad-tayyny-nasledstva-bratev-myasnikovyh-315646/og.png,https://kaverafisha.ru/saint-petersburg/events/spektakl-promenad-tayyny-nasledstva-bratev-myasnikovyh-315646,kaver,2026-07-11 14:02:09
,"Лунный свет. Дебюсси, Равель, Сати","Лунный свет. Дебюсси, Равель, Сати","Знаменитые полотна французских импрессионистов оживают на концерте «Лунный свет». Приходи на самый умиротворяющий концерт в Анненкирхе — оставь заботы, проблемы и шум, отдохни телом и душой.

Краткий миг жизни, застывшее в вечности движение — любимые картины обретут голос на обгоревших стенах старинной церкви. Солисты Оркестра 1703 исполнят произведения Клода Дебюсси, Мориса Равеля, Эрика Сати и других музыкантов эпохи.

Стены зала украсят медиапроекции от Руслана Назырова. На твоих глазах застрекочут в траве кузнечики, проплывут в танце балерины Дега, расцветут подсолнухи Ван Гога и заколышется водная гладь на картине Моне. Знаменитая «Звёздная ночь» наполнится шелестом ветра, над Овером проплывут облака, и шумная парижская толпа наполнит Монмартр.",concert,,"Выставка Лунный свет. Дебюсси, Равель, Сати в городе Санкт-Петербург, 16 июля 2026: купить билеты — Кавёр",,,,,,1600,1600 руб,False,0+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/lunnyy-svet-kontsert-v-annenkirhe-252101/og.png,https://kaverafisha.ru/saint-petersburg/events/lunnyy-svet-kontsert-v-annenkirhe-252101,kaver,2026-07-11 14:02:12
